"Genename"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"BAAT"	3.30487310064156e-94	3.53713278941596e-96	0.0651436078634755	-20.8096778880249	-1.35561749610273	1894.26379136095
"EGFR"	1.54439211708069e-93	1.66136213108118e-95	0.0499746445901905	20.7353804289122	1.03624326737728	12301.7753922657
"FERMT2"	4.1378421967598e-93	4.47383145829979e-95	0.0556123006807382	20.6876623485046	1.15048849890663	3282.3854311888
"P2RY2"	5.13693051629329e-93	5.61014636192136e-95	0.077910683437649	20.6767444513816	1.61093929147275	1254.52498033661
"LOC100294145"	5.17956868277145e-93	5.68499593314619e-95	0.0614884041839224	-20.6761049396243	-1.27134069747681	2247.62191461688
"PPP1R3B"	3.10297342040887e-91	3.42270862732809e-93	0.0708913713553645	20.477426410639	1.45167284007876	1089.04518715348
"HTR1D"	3.96291926797451e-91	4.3929045563197e-93	0.0636101644387119	20.4652646736334	1.30179885117158	1670.41902887705
"MYADM"	4.58555681352672e-91	5.1081395181535e-93	0.0514025853804985	20.4579100694944	1.05158946905374	7757.74703215888
"IER2"	1.09091230548628e-90	1.22119271896842e-92	0.0544776623377831	20.4153636442489	1.11218128711444	3987.73941102295
"CHRNA9"	2.77761514337013e-90	3.13966217811181e-92	0.185681218269134	20.3691680614736	3.78217194078314	242.358624064221
"C9orf152"	3.28976368429421e-90	3.7365305866499e-92	0.204083117337899	-20.3606423321419	-4.15526335814551	251.500646811166
"MAP1B"	5.17138650648364e-90	5.90192639029695e-92	0.0513138255637559	20.3382326077944	1.04363252031145	24311.3381090335
"TLR4"	2.39843580234601e-89	2.76344648225309e-91	0.14439469419929	20.2623684237518	2.92577849230099	296.422601251934
"LHX8"	2.70849840681747e-89	3.13548660648339e-91	0.127269196601423	20.2561490332542	2.57798381370095	394.804786096801
"MRC2"	7.73670620015956e-89	8.99862622527159e-91	0.0519469125767629	20.2041607950705	1.04954377450839	3424.99110677471
"VAV2"	1.75020512389933e-87	2.05479223304951e-89	0.0518032999608662	20.0491121913133	1.03861017279566	2774.15602277995
"YPEL2"	5.29666153863975e-87	6.24735921119525e-89	0.0846138508094131	19.9937099726181	1.69174479274978	1177.78365419673
"PDGFB"	6.18517010773824e-87	7.32912091617539e-89	0.189600938361615	19.9857408765594	3.78931522404774	1195.77777692535
"FOXP1"	8.3652546288632e-87	9.95809266145458e-89	0.0660650414858582	19.970435725015	1.31934766466378	1680.83382806164
"FHL2"	1.75437476135712e-86	2.10758721945376e-88	0.0611547262788799	19.9329514932239	1.2189941924983	1613.95832171239
"TRNT"	3.33698036232579e-86	4.02704450430841e-88	0.0766419344120981	-19.9005230469496	-1.52521458213076	1240.85465355593
"LINC00473"	4.18433006357994e-86	5.07246914276605e-88	0.087559912291147	-19.8889513317992	-1.74147483417523	795.557642809042
"F2R"	8.95623581747159e-86	1.09061354627651e-87	0.0636329377218321	19.8505223659943	1.26314705346115	3186.40635477914
"UACA"	1.16766401301424e-85	1.4282571884191e-87	0.0538358862099447	19.8369647057315	1.06794057464845	5159.18224446893
"MAFK"	5.61377129115866e-85	6.89727811123627e-87	0.0713588634764537	19.7576263659445	1.40988176246621	2927.05228868949
"PHC2"	5.91463848398521e-85	7.29923167902942e-87	0.0556126136576119	19.7547665940581	1.09861420249165	3872.2113594816
"MOB3B"	2.83755446233176e-84	3.51730935919462e-86	0.0893156030036578	19.6752079645436	1.75730306357558	697.543436811435
"RASGRF2"	7.88256342436618e-84	9.90001412987616e-86	0.0999647882125277	19.6226768897412	1.96157673944584	523.95154998368
"HAPLN3"	1.17736297769166e-83	1.49155360030833e-85	0.107962601274008	19.6018322801546	2.11626480270231	587.863159793078
"SEMA7A"	1.52858919099188e-83	1.94485492000823e-85	0.217319007911074	19.5883246369864	4.25691527674992	208.106647137534
"HBEGF"	2.88295741590734e-83	3.68378766626068e-85	0.112763387299073	19.555773139186	2.20517522042684	483.772237717153
"KCNK5"	2.09387110906316e-82	2.69837591732052e-84	0.0988663955039392	-19.4539472243509	-1.92334164039543	620.981292010289
"RDH10"	3.22766975195353e-82	4.17712953209735e-84	0.057211152505608	-19.4315312823497	-1.111700299612	2135.83328687868
"SLC25A37"	4.27777183980732e-82	5.55949160636784e-84	0.0530317968697882	19.4168521330783	1.02971055817212	4550.63820047803
"CXCL8"	1.34932677404462e-81	1.76098454101821e-83	0.0729319260260917	19.3575393691991	1.41178262932158	1010.91337534135
"IQGAP2"	1.69850142230186e-81	2.22596156474879e-83	0.0585715401873636	-19.3454630361776	-1.13309356566663	2492.35552791439
"PTPRJ"	2.50335411726699e-81	3.29442659455766e-83	0.056036462747455	19.3252408648365	1.08291813980801	4790.4461427075
"FHL3"	1.39575024467139e-80	1.8444359701331e-82	0.112346547941445	19.2361398147881	2.16111390391042	467.285271119326
"MLXIP"	2.57381442341472e-80	3.41526186255543e-82	0.0537681224563698	19.2041720050362	1.03257227203998	5644.74348193677
"GFPT2"	3.0825393485303e-80	4.10713482794405e-82	0.0595071074306515	19.1945896612052	1.14221450905661	2969.16454527835
"PALM2AKAP2"	3.44188224587354e-80	4.60471331971286e-82	0.0775666996865194	19.1886471312377	1.4884000294193	2521.86535645827
"SMOX"	1.40127315601859e-79	1.88234148626971e-81	0.0616529616926721	19.1153276673782	1.17851656441974	8392.24689139092
"CHD9"	1.59801417056969e-79	2.15535139043692e-81	0.0581248802194029	19.1082603296152	1.11066534286005	4728.97038654575
